collegetier,par_mean,kid_mean,k_q1,k_q2,k_q3,k_q4,k_q5
1,542890.8085,106812.8054,0.091435,0.088255256,0.085129827,0.14585629,0.58932364
1,372277.2722,128030.6852,0.092954479,0.081364945,0.072182894,0.11737183,0.6361258
1,279239.9712,117283.2229,0.081705868,0.064108483,0.071267456,0.11812582,0.66479242
1,469593.629,130760.1009,0.075941086,0.076101258,0.077660605,0.13701984,0.63327718
1,517631.5869,139638.2504,0.083236635,0.060089286,0.061073333,0.11130401,0.68429685
1,504991.5225,170575.2404,0.091732882,0.072259426,0.069741301,0.11473186,0.65153456
1,242345.7549,168951.4778,0.071288623,0.052241325,0.056981739,0.093748242,0.72573996
1,519426.918,166992.6908,0.079506271,0.065414563,0.059492324,0.10320269,0.69238418
1,472210.5292,174059.0453,0.086458147,0.066362321,0.073925003,0.10052297,0.67273152
1,284501.3159,92628.02125,0.093065687,0.10176876,0.090107642,0.16458602,0.5504719
1,458236.05,172802.5197,0.083803684,0.059940625,0.053666808,0.10782889,0.69476002
1,515437.752,143231.2839,0.078232378,0.080467254,0.0858799,0.12335713,0.63206333
2,440985.7169,104541.7443,0.079923436,0.083400652,0.081692338,0.1608569,0.5941267
2,310543.0638,71527.04265,0.12706351,0.098978415,0.10596091,0.1582343,0.50976288
2,330710.9493,78932.22507,0.076321572,0.086994149,0.11487134,0.2234737,0.49833918
2,394426.3457,99796.0483,0.084641755,0.063135073,0.065523401,0.14776297,0.63893688
2,410517.6497,88443.58568,0.077352732,0.08333841,0.10572745,0.17606591,0.5575155
2,299664.4729,78200.06473,0.08713001,0.091021225,0.097780459,0.17101504,0.55305332
2,222398.8616,53655.57523,0.12951466,0.12176197,0.13738212,0.21948376,0.39185739
2,296115.8312,100204.6075,0.080199078,0.057688009,0.080878526,0.14595622,0.63527822
2,185591.1348,119502.5455,0.084309585,0.065216728,0.059257902,0.12356792,0.6676479
2,258017.3434,66866.31335,0.087055132,0.10038456,0.12914649,0.22964072,0.45377314
2,221109.1144,109957.0418,0.086879089,0.074630059,0.082425505,0.12149605,0.63456941
2,166132.0251,87192.37208,0.072145499,0.055182159,0.087549642,0.14069569,0.64442706
2,335092.9724,98125.4208,0.086978272,0.067427561,0.082857281,0.13003744,0.63269943
2,418072.8775,81791.60644,0.077856824,0.092825055,0.10252096,0.19583002,0.53096712
2,522975.6131,103263.2929,0.069377325,0.0754347,0.085152104,0.1568523,0.61318356
2,140408.1488,70038.18328,0.070099071,0.06424509,0.08323209,0.22408891,0.55833483
2,294562.2806,96254.76981,0.07697434,0.048783928,0.076801844,0.14056046,0.65687943
2,208657.8585,75046.77252,0.090431042,0.07662718,0.09189605,0.19742891,0.54361683
